,date,index,pull_call_ratio
327,2021-11-25,31.25714285714286,0.6570929050587789
328,2021-11-26,31.25714285714286,0.6570929050587789
329,2021-11-27,38.114285714285714,0.6709121193709382
330,2021-11-28,38.114285714285714,0.6709121193709382
331,2021-11-29,38.114285714285714,0.6709121193709382
332,2021-11-30,24.771428571428572,0.6892658515941869
333,2021-12-01,25.357142857142858,0.6953017460413328
334,2021-12-02,22.928571428571427,0.72609639280581
335,2021-12-03,20.157142857142862,0.7581762246701377
336,2021-12-04,21.25714285714286,0.7731132988862648
337,2021-12-05,21.25714285714286,0.7731132988862648
338,2021-12-06,21.25714285714286,0.7731132988862648
339,2021-12-07,37.88571428571429,0.7639310592579284
340,2021-12-08,41.314285714285724,0.7347179446480759
341,2021-12-09,36.85714285714287,0.7144854675542014
342,2021-12-10,42.0,0.6532027844913362
343,2021-12-11,35.4,0.6465370094387877
344,2021-12-12,35.4,0.6465370094387877
345,2021-12-13,35.4,0.6465370094387877
346,2021-12-14,31.542857142857144,0.6717395629493909
347,2021-12-15,37.800000000000004,0.6992441590117479
348,2021-12-16,33.57142857142858,0.6799519792919064
349,2021-12-17,32.51428571428572,0.6869753324800052
350,2021-12-18,29.428571428571427,0.6929062085007279
351,2021-12-19,29.428571428571427,0.6929062085007279
352,2021-12-20,29.428571428571427,0.6929062085007279
353,2021-12-21,34.028571428571425,0.6560390802239163
354,2021-12-22,39.542857142857144,0.6358500554844693
355,2021-12-23,50.48571428571428,0.62331086217691
356,2021-12-24,56.39999999999999,0.5948870599448962
357,2021-12-25,56.39999999999999,0.5948870599448962
358,2021-12-26,56.39999999999999,0.5948870599448962
359,2021-12-27,56.39999999999999,0.5948870599448962
360,2021-12-28,62.971428571428575,0.5634987426069726
361,2021-12-29,64.02857142857144,0.5723820194239388
362,2021-12-30,63.97142857142858,0.5717801982135458
363,2021-12-31,62.54285714285715,0.5889714143507048
364,2022-01-01,65.22857142857144,0.5835173228535725
365,2022-01-02,65.22857142857144,0.5835173228535725
366,2022-01-03,65.22857142857144,0.5835173228535725
367,2022-01-04,64.25714285714285,0.5834209617239287
368,2022-01-05,51.02857142857143,0.6005321033512734
369,2022-01-06,52.142857142857146,0.619149283183239
370,2022-01-07,49.25714285714287,0.6369093833495507
371,2022-01-08,51.142857142857146,0.681379563500667
372,2022-01-09,51.142857142857146,0.681379563500667
373,2022-01-10,51.142857142857146,0.681379563500667
374,2022-01-11,56.114285714285714,0.683592526181531
375,2022-01-12,55.94285714285714,0.6586991311155104
376,2022-01-13,52.17142857142857,0.6630945776117433
377,2022-01-14,55.800000000000004,0.6896695536622267
378,2022-01-15,53.714285714285715,0.6985779981921342
379,2022-01-16,53.714285714285715,0.6985779981921342
380,2022-01-17,53.714285714285715,0.6985779981921342
381,2022-01-18,53.714285714285715,0.6985779981921342
382,2022-01-19,44.82857142857143,0.7257844196438754
383,2022-01-20,39.142857142857146,0.7798033034716674
384,2022-01-21,26.728571428571428,0.852187508303467
385,2022-01-22,23.128571428571433,0.8843765820701286
386,2022-01-23,23.128571428571433,0.8843765820701286
387,2022-01-24,23.128571428571433,0.8843765820701286
388,2022-01-25,20.88571428571429,0.8807758913468829
389,2022-01-26,19.514285714285716,0.8892981004456526
390,2022-01-27,18.6,0.9014092392053709
391,2022-01-28,23.857142857142858,0.8785961407186804
392,2022-01-29,29.200000000000006,0.8354000800448315
393,2022-01-30,29.200000000000006,0.8354000800448315
394,2022-01-31,29.200000000000006,0.8354000800448315
395,2022-02-01,30.800000000000004,0.8193513591154774
396,2022-02-02,28.800000000000004,0.8212260132590821
397,2022-02-03,26.057142857142857,0.8208559547848117
398,2022-02-04,27.6,0.7839844372768714
399,2022-02-05,27.914285714285715,0.7628165458002772
400,2022-02-06,27.914285714285715,0.7628165458002772
401,2022-02-07,27.914285714285715,0.7628165458002772
402,2022-02-08,28.942857142857143,0.7667705997084159
403,2022-02-09,32.65714285714286,0.7526859470687107
404,2022-02-10,33.6,0.7241352223231066
405,2022-02-11,28.48571428571429,0.7596138185497558
406,2022-02-12,25.685714285714287,0.8063726625050384
407,2022-02-13,25.685714285714287,0.8063726625050384
408,2022-02-14,25.685714285714287,0.8063726625050384
409,2022-02-15,29.97142857142857,0.8131420843458667
410,2022-02-16,32.08571428571428,0.8320047169701548
411,2022-02-17,32.457142857142856,0.8507208225469421
412,2022-02-18,29.514285714285716,0.8672650747151598
413,2022-02-19,28.771428571428572,0.8645091249491458
414,2022-02-20,28.771428571428572,0.8645091249491458
415,2022-02-21,28.771428571428572,0.8645091249491458
416,2022-02-22,28.771428571428572,0.8645091249491458
417,2022-02-23,18.814285714285713,0.8946952939530248
418,2022-02-24,21.228571428571428,0.9310742319943687
419,2022-02-25,28.142857142857142,0.9195977986141155
420,2022-02-26,25.47142857142857,0.8772859919249084
421,2022-02-27,25.47142857142857,0.8772859919249084
422,2022-02-28,25.47142857142857,0.8772859919249084
423,2022-03-01,22.97142857142857,0.8551576774281502
424,2022-03-02,17.82857142857143,0.8320254769102808
425,2022-03-03,21.72857142857143,0.8004003884163511
426,2022-03-04,18.17142857142857,0.8213043463401191
427,2022-03-05,16.9,0.8151881479286874
428,2022-03-06,16.9,0.8151881479286874
429,2022-03-07,16.9,0.8151881479286874
430,2022-03-08,16.67142857142857,0.8062315452969029
431,2022-03-09,18.028571428571432,0.8138413900641706
432,2022-03-10,17.95714285714286,0.8226553775936895
433,2022-03-11,19.057142857142857,0.8208479660744101
434,2022-03-12,17.5,0.8614454660084233
435,2022-03-13,17.5,0.8614454660084233
436,2022-03-14,17.5,0.8614454660084233
437,2022-03-15,21.857142857142858,0.889649054654719
438,2022-03-16,25.25714285714286,0.8873536188019212
439,2022-03-17,33.62857142857143,0.8694472226565167
440,2022-03-18,38.42857142857143,0.8229087394712595
441,2022-03-19,40.971428571428575,0.7591334098622561
442,2022-03-20,40.971428571428575,0.7591334098622561
443,2022-03-21,40.971428571428575,0.7591334098622561
444,2022-03-22,44.542857142857144,0.7148275244579277
445,2022-03-23,45.199999999999996,0.6839462853344298
446,2022-03-24,46.91428571428571,0.6537352625894212
447,2022-03-25,49.371428571428574,0.657413751041795
448,2022-03-26,51.25714285714286,0.6603808080446136
449,2022-03-27,51.25714285714286,0.6603808080446136
450,2022-03-28,51.25714285714286,0.6603808080446136
451,2022-03-29,52.714285714285715,0.644023725673168
